1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0.14375000089499998,0.4275,0.25,0.07500000000000001,0.2075,0.38,0.27999999999999997,0.38249999999999995,0.385,0.6675,0.2125,0.5975,0.7225,0.5475,0.5449999999999999,0.5025,0.5575,0.6975,0.5225,1.0150000000000001,0.9199999999999999
0.0971817296825,0.1129251704025,0.1449999995975,0.19500000000000003,0.17500000000000002,0.17666666666666664,0.39999999999999997,0.5025000000000001,0.8275,0.7,0.6525,0.75,0.795,0.52,0.5075000000000001,0.86,0.75,0.5449999999999999,0.7024999999999999,0.8025,0.5166666666666666
0.28250000000000003,0.33499999999999996,0.37,0.4474999997,0.424999973775,0.397500003575,0.4525,0.675,0.515,0.5925,0.6625,0.605,0.635,0.7125000000000001,0.7275,0.7900000000000001,0.77,0.8175,0.9700000000000001,1.0675000000000001,1.3199999999999998
,,5.985000021621611e-10,0.06666666637,0.215000001775,0.31750000045000004,0.42249999555000006,0.5925,0.5225,0.7275,0.6575,0.9225,1.5550000000000002,2.11,2.5225,2.21,2.2275,1.835,3.55,4.3975,1.0799999999999998
0.1075,0.010000000000000002,0.10125,0.10375000000000001,0.036250000000000004,0.135,0.1825,0.365,0.315,0.38749999999999996,0.2025,0.065,0.2325,0.3125,0.2725,0.2575,0.09,-0.35999999999999993,-0.6525000000000001,-0.6475,-0.09250000000000001
0.7025000135225,0.834999997675,0.8524999999999999,0.664999995975,0.81249999925,0.704999997025,0.755,0.6649999999999999,0.745,0.7200000000000001,0.7025,0.14500000000000002,0.535,-1.0025,0.2975,0.605,0.65,0.6725,0.54,0.835,0.9966666666666667
0.7899999988249999,0.18250000715000006,0.75,-0.38750000000000007,0.10000000000000003,0.6875,0.5225,0.63438625,0.6825000000000001,0.86,0.74699125,0.6325000000000001,1.005,0.6499999999999999,0.76,0.83764825,1.0474999999999999,0.31,0.9700000000000001,0.9750000000000001,1.1933333333333334
0.1450000009,0.34625,0.13,-1.6175,-0.15999999999999998,0.125,0.23249999999999998,0.08000000000000002,-0.03499999999999998,0.45999999999999996,0.24630249999999998,0.010419499999999998,0.01442525,-0.30861700000000003,0.035,0.2675,0.11000000000000001,-0.42946975000000004,-0.43999999999999995,0.45499999999999996,0.19000000000000003
0.134375,0.161875,0.16375,0.1975,0.1925,0.3125,0.37,0.37249999999999994,0.41875,0.32999999999999996,0.40125,0.625,0.51435225,0.76625,0.84875,0.8162500000000001,0.73625,0.8087500000000001,1.38625,0.9475,1.1266666666666667
0.462500003575,0.39999997919999997,0.274999990475,0.4124999994,0.47249999940000004,0.3449999988,0.32749999609999997,-1.0899999999999999,0.3450000006,0.5799999928500001,0.53,0.37749999999999995,0.525,0.195,-1.355,-1.6125,2.215,9.3525,-3.2725,-3.83,-5.006666666666667
10.36666666575,12.683333333249998,10.25,10.55,17.75,18.85,20.150000000000002,26.950000000000003,11.700000000000001,-185.75,-25.546907750000003,-3.9455962499999995,2.63,0.37249999999999994,1.54,1.3099999999999998,0.37,-0.2425,-1.7025000000000001,-0.009999999999999898,0.9166666666666666
0.07148204513275,0.09714226549,0.04032320455249999,0.17229005575,0.12830110535,0.3445801114025,-0.032991712815,0.19061878510000002,-0.036657458675000004,0.54028696075,-0.25972556528999996,-0.27651823649999996,-0.22341762349999997,0.142079161556,0.359673655185,0.5310628454499999,0.391354905275,0.69089729402,0.5052830956200001,1.1136851904399998,0.7633333333333332
,,,,,0.6433333333333333,0.885,1.42,1.365,0.9475,0.9075000000000001,0.5975000000000001,1.3975,1.4124999999999999,1.5924999999999998,1.625,0.5225,2.26,2.37,1.03979525,1.2833333333333334
