1999_eps_fc,2000_eps_fc,2001_eps_fc,2002_eps_fc,2003_eps_fc,2004_eps_fc,2005_eps_fc,2006_eps_fc,2007_eps_fc,2008_eps_fc,2009_eps_fc,2010_eps_fc,2011_eps_fc,2012_eps_fc,2013_eps_fc,2014_eps_fc,2015_eps_fc,2016_eps_fc,2017_eps_fc,2018_eps_fc,2019_eps_fc
0.23425,0.363,0.306,0.151,0.0925,0.14825000000000002,0.17633333333333331,0.177,0.25,0.2675,0.21275,0.243,0.25225000000000003,0.2985,0.29800000000000004,0.31375,0.298,0.26275,0.26225,0.28625,0.33099999999999996
0.12275,0.14825000000000002,0.16574999999999998,0.19125,0.23075,0.28400000000000003,0.316,0.35150000000000003,0.405,0.49624999999999997,0.5815,0.676,0.7735,0.8015000000000001,0.752,0.7375,0.7565000000000001,0.83775,0.806,0.97375,1.0550000000000002
,,,,,,0.33225,0.316,0.28025,0.48775,0.60925,0.8315000000000001,1.16825,1.4452500000000001,2.2474999999999996,3.40375,3.705,3.4035,4.00375,3.9205,4.1667499999999995
,,,,,,19.75125,28.174500000000002,27.551000000000002,-4.4855,-0.6507499999999999,-5.598750000000001,0.34775,0.631,0.91525,1.06575,0.62975,0.88375,0.5452499999999999,0.7337500000000001,1.0510000000000002
,,,,,,-0.2175,-0.16125000000000003,-0.13924999999999998,-0.34175,-0.40650000000000003,-0.4685,-0.35850000000000004,-0.20224999999999999,0.012250000000000002,0.079,0.13424999999999998,0.14650000000000002,0.7789999999999999,0.14300000000000002,0.13524999999999998
,,,,0.5966666666666667,0.5785,0.755,1.00475,1.2565,1.36675,1.142,1.1062500000000002,1.05575,0.9895000000000002,1.4777500000000001,1.5917500000000002,1.334,1.01675,0.7302500000000001,1.294,2.0860000000000003
0.20975,0.25225,0.33575,0.3965,0.45525,0.50925,0.48400000000000004,0.39875,0.43125,0.37074999999999997,0.30474999999999997,0.3485,0.35775,0.43799999999999994,0.51,0.541,0.611,0.6695,0.7385,0.8677500000000001,0.8909999999999999
,,,,,,0.14450000000000002,0.20325,0.3215,0.39825,0.3965,0.34175,0.36574999999999996,0.41475,0.47250000000000003,0.57175,0.5985,0.639,0.62325,0.8322499999999999,1.03925
0.20650000000000002,0.21399999999999997,0.18075000000000002,0.19749999999999998,0.20174999999999998,0.20825,0.2695,0.395,0.57425,0.6119999999999999,0.43324999999999997,0.7785,1.09125,1.1117499999999998,1.02325,1.0197500000000002,0.8025,0.853,1.0855000000000001,1.3017500000000002,1.4937500000000001
,-0.93,-0.49974999999999997,-0.2865,-0.038,0.049499999999999995,-0.03475,-0.11325,0.07075000000000001,0.04575,0.038250000000000006,0.15425,0.19225,0.252,0.30825,0.41225,0.38049999999999995,0.5157499999999999,0.792,1.10275,1.2157499999999999
