1999_eps_fc,2000_eps_fc,2001_eps_fc,2002_eps_fc,2003_eps_fc,2004_eps_fc,2005_eps_fc,2006_eps_fc,2007_eps_fc,2008_eps_fc,2009_eps_fc,2010_eps_fc,2011_eps_fc,2012_eps_fc,2013_eps_fc,2014_eps_fc,2015_eps_fc,2016_eps_fc,2017_eps_fc,2018_eps_fc,2019_eps_fc,1999_eps_act,2000_eps_act,2001_eps_act,2002_eps_act,2003_eps_act,2004_eps_act,2005_eps_act,2006_eps_act,2007_eps_act,2008_eps_act,2009_eps_act,2010_eps_act,2011_eps_act,2012_eps_act,2013_eps_act,2014_eps_act,2015_eps_act,2016_eps_act,2017_eps_act,2018_eps_act,2019_eps_act,1999_eod_act,2000_eod_act,2001_eod_act,2002_eod_act,2003_eod_act,2004_eod_act,2005_eod_act,2006_eod_act,2007_eod_act,2008_eod_act,2009_eod_act,2010_eod_act,2011_eod_act,2012_eod_act,2013_eod_act,2014_eod_act,2015_eod_act,2016_eod_act,2017_eod_act,2018_eod_act,2019_eod_act,2000_eps_fc_terms,2001_eps_fc_terms,2002_eps_fc_terms,2003_eps_fc_terms,2004_eps_fc_terms,2005_eps_fc_terms,2006_eps_fc_terms,2007_eps_fc_terms,2008_eps_fc_terms,2009_eps_fc_terms,2010_eps_fc_terms,2011_eps_fc_terms,2012_eps_fc_terms,2013_eps_fc_terms,2014_eps_fc_terms,2015_eps_fc_terms,2016_eps_fc_terms,2017_eps_fc_terms,2018_eps_fc_terms,2019_eps_fc_terms
0.08574999999999999,0.1255,0.132,0.10899999999999999,0.13025,0.20325,0.318,0.3835,0.38325,0.42775,0.17575,0.54525,0.67325,0.53025,0.524,0.58875,0.719,0.7080000000000001,1.022,1.41075,1.2555,0.14375000089499998,0.4275,0.25,0.07500000000000001,0.2075,0.38,0.27999999999999997,0.38249999999999995,0.385,0.6675,0.2125,0.5975,0.7225,0.5475,0.5449999999999999,0.5025,0.5575,0.6975,0.5225,1.0150000000000001,0.9199999999999999,12.090825,32.0586,17.125,14.086374999999999,17.682499999999997,24.767500000000002,32.253750000000004,35.9625,42.059999999999995,33.935,29.877499999999998,29.682499999999997,29.2625,39.64,47.38250000000001,53.05500000000001,59.72875,63.225,83.73750000000001,91.335,109.95666666666666,0.12125,0.1545,0.1315,0.12525,0.15775,0.33299999999999996,0.39525,0.41075,0.4335,0.2525,0.4605,0.6837500000000001,0.5865,0.5592499999999999,0.596,0.72225,0.773,0.94375,1.3322500000000002,1.3435
0.11575,0.12974999999999998,0.16925,0.18375000000000002,0.16725,0.24925000000000003,0.32075000000000004,0.43624999999999997,0.59525,0.6759999999999999,0.5920000000000001,0.6325,0.80775,0.54925,0.5896666666666667,0.7945,0.6863333333333334,0.5307499999999999,0.5965,0.7497499999999999,0.6539999999999999,0.0971817296825,0.1129251704025,0.1449999995975,0.19500000000000003,0.17500000000000002,0.17666666666666664,0.39999999999999997,0.5025000000000001,0.8275,0.7,0.6525,0.75,0.795,0.52,0.5075000000000001,0.86,0.75,0.5449999999999999,0.7024999999999999,0.8025,0.5166666666666666,12.032975,10.20265,12.9612,12.907499999999999,13.0,18.235000000000003,23.819999999999997,36.1925,37.325,31.412499999999998,28.77,29.18,29.8925,28.9375,36.97,47.65,43.4375,41.755,42.5025,45.11,41.666666666666664,0.13274999999999998,0.17275000000000001,0.1865,0.167,0.2435,0.31899999999999995,0.4285,0.5845,0.6669999999999999,0.5735,0.6255000000000001,0.8135,0.7982499999999999,0.7014999999999999,0.83225,0.8995000000000001,0.78,0.73325,0.746,0.9675
0.283,0.326,0.37975000000000003,0.4365,0.41674999999999995,0.37675,0.44175000000000003,0.47550000000000003,0.4922500000000001,0.53875,0.5777500000000001,0.5710000000000001,0.619,0.68,0.7222500000000001,0.78425,0.72275,0.803,0.86725,1.0210000000000001,1.27725,0.28250000000000003,0.33499999999999996,0.37,0.4474999997,0.424999973775,0.397500003575,0.4525,0.675,0.515,0.5925,0.6625,0.605,0.635,0.7125000000000001,0.7275,0.7900000000000001,0.77,0.8175,0.9700000000000001,1.0675000000000001,1.3199999999999998,12.032975,10.20265,12.9612,12.907499999999999,13.0,18.235000000000003,23.819999999999997,36.1925,37.325,34.5117,33.49405,37.950575,44.992825,49.67965,62.95925,73.39515,82.73750000000001,93.13999999999999,107.83999999999999,132.35,162.16333333333333,0.3275,0.37925,0.43725,0.4195,0.37625000000000003,0.43900000000000006,0.47774999999999995,0.50275,0.53225,0.58225,0.5710000000000001,0.618,0.68175,0.7230000000000001,0.78425,0.7472500000000001,0.803,0.8672500000000001,1.0245,1.27725
0.283,0.326,0.11833333333333333,0.15025000000000002,0.19674999999999998,0.31625,0.46875,0.6347499999999999,0.8895000000000001,1.07325,1.26575,1.3975,1.68325,2.03325,2.45025,3.0200000000000005,3.6792499999999997,4.1235,4.40175,5.49625,4.36525,0.28250000000000003,0.33499999999999996,5.985000021621611e-10,0.06666666637,0.215000001775,0.31750000045000004,0.42249999555000006,0.5925,0.5225,0.7275,0.6575,0.9225,1.5550000000000002,2.11,2.5225,2.21,2.2275,1.835,3.55,4.3975,1.0799999999999998,12.032975,10.20265,16.8,20.89,23.619999999999997,40.96,38.9275,55.8125,72.8325,53.4925,50.9525,64.95,94.125,136.9175,204.32999999999998,272.005,280.935,214.73749999999998,245.18,208.07500000000002,147.74666666666667,0.3275,0.37925,0.15525000000000003,0.181,0.282,0.4525,0.58,0.88275,1.085,1.3042500000000001,1.5232500000000002,1.6680000000000001,2.1109999999999998,2.4595,3.1717500000000003,3.7452500000000004,4.372,4.84675,5.752750000000001,5.859249999999999
0.1285,0.04425,0.10750000000000001,0.11425,0.044750000000000005,0.07375000000000001,0.18825000000000003,0.28925,0.36925,0.4635,0.43450000000000005,0.18125,0.28874999999999995,0.40775,0.47224999999999995,0.39849999999999997,0.2415,0.16199999999999998,-0.2125,-0.157,0.21975,0.1075,0.010000000000000002,0.10125,0.10375000000000001,0.036250000000000004,0.135,0.1825,0.365,0.315,0.38749999999999996,0.2025,0.065,0.2325,0.3125,0.2725,0.2575,0.09,-0.35999999999999993,-0.6525000000000001,-0.6475,-0.09250000000000001,7.851575,8.281275,8.574525,7.945625,9.1275,24.87,38.379999999999995,37.055,46.1025,29.622500000000002,21.25,30.9875,35.205,36.5075,41.67,55.18,53.446250000000006,64.6975,101.095,135.34750000000003,155.47333333333333,0.04425,0.10750000000000001,0.11425,0.044750000000000005,0.07375000000000001,0.18825000000000003,0.28925,0.37125,0.4635,0.43450000000000005,0.18125,0.28874999999999995,0.40775,0.47224999999999995,0.39849999999999997,0.2415,0.16199999999999998,-0.2125,-0.157,0.21975
0.7185,1.0343333333333333,0.8632500000000001,0.7467500000000001,0.71625,0.68525,0.7375,0.78275,0.8699999999999999,0.715,0.621,0.592,0.6072500000000001,0.60625,0.5257499999999999,0.56325,0.6064999999999999,0.6034999999999999,0.7152500000000002,0.7487499999999999,0.796,0.7025000135225,0.834999997675,0.8524999999999999,0.664999995975,0.81249999925,0.704999997025,0.755,0.6649999999999999,0.745,0.7200000000000001,0.7025,0.14500000000000002,0.535,-1.0025,0.2975,0.605,0.65,0.6725,0.54,0.835,0.9966666666666667,36.28125,38.21875,41.087500000000006,42.245,43.015,46.33500000000001,52.260000000000005,51.709999999999994,51.505,39.64,25.3275,26.61,29.9525,32.3775,35.115,41.635000000000005,41.345,51.330000000000005,56.52250000000001,61.4825,76.23666666666666,1.27,1.075,0.8417499999999999,0.7425,0.7474999999999999,0.7472499999999999,0.7649999999999999,1.0883333333333332,0.8966666666666668,0.7000000000000001,0.59675,0.6262500000000001,0.56125,0.47574999999999995,0.5670000000000001,0.595,0.637,0.6507499999999999,0.7395,0.81825
0.7224999999999999,0.607,0.8227500000000001,0.69775,0.53975,0.561,0.57275,0.6697500000000001,0.7282500000000001,0.76725,0.68625,0.7284999999999999,0.777,0.7465,0.7995,0.7977500000000001,0.8575,0.92625,0.93025,0.94825,1.0002499999999999,0.7899999988249999,0.18250000715000006,0.75,-0.38750000000000007,0.10000000000000003,0.6875,0.5225,0.63438625,0.6825000000000001,0.86,0.74699125,0.6325000000000001,1.005,0.6499999999999999,0.76,0.83764825,1.0474999999999999,0.31,0.9700000000000001,0.9750000000000001,1.1933333333333334,35.875,36.265625,44.9825,35.487500000000004,28.297500000000003,32.805,36.93000000000001,36.80500000000001,46.6075,38.042500000000004,29.9825,34.67249999999999,38.0375,41.275,45.875,54.84,56.0875,65.91499999999999,70.10249999999999,70.865,88.48333333333333,0.6566666666666666,0.8962500000000001,0.9917499999999999,0.63075,0.56175,0.5655000000000001,0.6333333333333333,0.6984999999999999,0.765,0.7525,0.7995,0.77925,0.775,0.8065,0.813,0.83475,0.9345000000000001,0.9095,0.9802500000000001,1.00225
0.23425,0.363,0.306,0.151,0.0925,0.14825000000000002,0.17633333333333331,0.177,0.25,0.2675,0.21275,0.243,0.25225000000000003,0.2985,0.29800000000000004,0.31375,0.298,0.26275,0.26225,0.28625,0.33099999999999996,0.1450000009,0.34625,0.13,-1.6175,-0.15999999999999998,0.125,0.23249999999999998,0.08000000000000002,-0.03499999999999998,0.45999999999999996,0.24630249999999998,0.010419499999999998,0.01442525,-0.30861700000000003,0.035,0.2675,0.11000000000000001,-0.42946975000000004,-0.43999999999999995,0.45499999999999996,0.19000000000000003,28.640625,52.21875,30.544999999999995,4.9875,6.7075,10.530000000000001,16.255,19.485,21.2075,13.9525,11.3875,10.9425,11.835,11.892499999999998,13.09,14.445,11.3675,12.1875,11.035,13.31,17.060000000000002,0.35875,0.49033333333333334,0.365,0.125,0.18,0.253,0.255,0.2995,0.2925,0.28625,0.28,0.32,0.3276666666666667,0.31825000000000003,0.33899999999999997,0.32999999999999996,0.289,0.2775,0.31225,0.353
0.12275,0.14825000000000002,0.16574999999999998,0.19125,0.23075,0.28400000000000003,0.316,0.35150000000000003,0.405,0.49624999999999997,0.5815,0.676,0.7735,0.8015000000000001,0.752,0.7375,0.7565000000000001,0.83775,0.806,0.97375,1.0550000000000002,0.134375,0.161875,0.16375,0.1975,0.1925,0.3125,0.37,0.37249999999999994,0.41875,0.32999999999999996,0.40125,0.625,0.51435225,0.76625,0.84875,0.8162500000000001,0.73625,0.8087500000000001,1.38625,0.9475,1.1266666666666667,11.960975000000001,14.234375,13.82375,15.28875,16.41,20.0,21.5325,22.905,27.26625,29.0425,17.43,25.637500000000003,22.208750000000002,23.6975,29.86625,30.57875,30.53,34.59625,39.90875,44.8525,52.376666666666665,0.14675000000000002,0.17125,0.19075,0.22449999999999998,0.27975,0.32299999999999995,0.36500000000000005,0.41075,0.4865,0.56975,0.66525,0.7635,0.81975,0.8175000000000001,0.78575,0.7757499999999999,0.80125,0.8287500000000001,0.917,1.0505
0.12275,0.14825000000000002,0.16574999999999998,0.19125,0.23075,0.28400000000000003,0.33225,0.316,0.28025,0.48775,0.60925,0.8315000000000001,1.16825,1.4452500000000001,2.2474999999999996,3.40375,3.705,3.4035,4.00375,3.9205,4.1667499999999995,0.462500003575,0.39999997919999997,0.274999990475,0.4124999994,0.47249999940000004,0.3449999988,0.32749999609999997,-1.0899999999999999,0.3450000006,0.5799999928500001,0.53,0.37749999999999995,0.525,0.195,-1.355,-1.6125,2.215,9.3525,-3.2725,-3.83,-5.006666666666667,36.391000000000005,52.375249999999994,50.08500000000001,26.285,39.207499999999996,32.99,32.3525,26.055,29.625,27.89,35.2625,44.075,63.3325,78.05250000000001,132.58249999999998,231.89749999999998,296.34749999999997,234.86,212.63500000000002,164.7875,160.71,0.14675000000000002,0.17125,0.19075,0.22449999999999998,0.27975,0.365,0.371,0.341,0.4715,0.55625,0.7817500000000001,1.05025,1.4194999999999998,1.979,3.13375,4.27425,3.8767499999999995,4.13,4.0185,4.14725
