1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
12.032975,10.20265,12.9612,12.907499999999999,13.0,18.235000000000003,23.819999999999997,36.1925,37.325,31.412499999999998,28.77,29.18,29.8925,28.9375,36.97,47.65,43.4375,41.755,42.5025,45.11,41.666666666666664
,,,,,,,,,34.5117,33.49405,37.950575,44.992825,49.67965,62.95925,73.39515,82.73750000000001,93.13999999999999,107.83999999999999,132.35,162.16333333333333
,,16.8,20.89,23.619999999999997,40.96,38.9275,55.8125,72.8325,53.4925,50.9525,64.95,94.125,136.9175,204.32999999999998,272.005,280.935,214.73749999999998,245.18,208.07500000000002,147.74666666666667
7.851575,8.281275,8.574525,7.945625,9.1275,24.87,38.379999999999995,37.055,46.1025,29.622500000000002,21.25,30.9875,35.205,36.5075,41.67,55.18,53.446250000000006,64.6975,101.095,135.34750000000003,155.47333333333333
36.28125,38.21875,41.087500000000006,42.245,43.015,46.33500000000001,52.260000000000005,51.709999999999994,51.505,39.64,25.3275,26.61,29.9525,32.3775,35.115,41.635000000000005,41.345,51.330000000000005,56.52250000000001,61.4825,76.23666666666666
35.875,36.265625,44.9825,35.487500000000004,28.297500000000003,32.805,36.93000000000001,36.80500000000001,46.6075,38.042500000000004,29.9825,34.67249999999999,38.0375,41.275,45.875,54.84,56.0875,65.91499999999999,70.10249999999999,70.865,88.48333333333333
28.640625,52.21875,30.544999999999995,4.9875,6.7075,10.530000000000001,16.255,19.485,21.2075,13.9525,11.3875,10.9425,11.835,11.892499999999998,13.09,14.445,11.3675,12.1875,11.035,13.31,17.060000000000002
11.960975000000001,14.234375,13.82375,15.28875,16.41,20.0,21.5325,22.905,27.26625,29.0425,17.43,25.637500000000003,22.208750000000002,23.6975,29.86625,30.57875,30.53,34.59625,39.90875,44.8525,52.376666666666665
36.391000000000005,52.375249999999994,50.08500000000001,26.285,39.207499999999996,32.99,32.3525,26.055,29.625,27.89,35.2625,44.075,63.3325,78.05250000000001,132.58249999999998,231.89749999999998,296.34749999999997,234.86,212.63500000000002,164.7875,160.71
1075.655425,1447.494275,1356.672475,1059.36895,957.5452,1157.2554499999999,1020.750475,1101.8408749999999,1102.4273,312.50797500000004,24.563775,34.6184,27.402500000000003,32.7525,45.8,53.655,58.85,57.8975,61.480000000000004,50.0225,50.68000000000001
28.787575,32.522025,33.658874999999995,31.873624999999997,26.565675,24.84275,28.367375,36.8004,34.452525,22.6324,11.600875,21.912775,24.7563,27.452849999999998,29.530674999999995,33.890074999999996,39.53065,45.717825000000005,45.086200000000005,44.098825000000005,50.85
,,,,,27.02,37.837500000000006,51.5775,58.237500000000004,52.955,26.852500000000003,37.075,37.91,36.835,54.0975,65.81,71.99000000000001,87.1425,98.93,98.07249999999999,109.03666666666668
13.34375,24.65625,30.510000000000005,30.362499999999997,28.130000000000003,32.1625,28.904999999999998,27.342499999999998,27.342499999999998,24.822499999999998,21.305000000000003,26.095,29.6725,35.32,43.895,46.655,44.067499999999995,48.7275,59.654999999999994,70.5375,85.08666666666666
327.625,88.28125,6.6468750000000005,1.9652500000000002,5.327500000000001,14.5425,15.435,43.0475,40.472500000000004,23.87,20.8975,42.302499999999995,30.4075,36.905,44.18000000000001,60.5075,65.63875,57.792500000000004,55.81750000000001,69.61,81.07666666666667
10.4219,10.6797,11.065000000000001,14.00625,13.7175,16.806250000000002,18.61,27.42,41.33,32.392500000000005,29.5775,46.2325,55.22,59.59,62.785,64.23750000000001,52.055,78.7025,118.845,90.98,73.96999999999998
,,5.4425,3.6849999999999996,11.907499999999999,16.01,6.699999999999999,10.4775,20.5075,10.295,12.6425,18.3325,20.543750000000003,31.4325,43.955,53.855,59.77625,85.78,168.3225,298.48,246.31666666666663
10.316425,6.9336,6.479374999999999,6.171250000000001,5.76375,6.675000000000001,7.748125,9.525625,7.128750000000001,5.2875,6.07375,12.11875,16.45375,18.73375,31.493750000000002,49.37,72.6425,73.72500000000001,82.94,63.01499999999999,61.64666666666667
30.46875,31.09375,39.245000000000005,36.8225,37.0925,47.93,55.7925,58.67,57.747499999999995,43.1325,26.052500000000002,31.1175,28.3525,36.947500000000005,50.57,61.73,64.0925,70.155,91.6375,91.85,101.51666666666667
,,,,,,,,,,,,,,44.19,52.987500000000004,61.2225,66.5125,80.7125,83.2325,101.63666666666666
3.8867499999999997,20.011725,5.517024999999999,4.023125,3.9312500000000004,5.3475,5.7897,9.119374999999998,14.280000000000001,17.67375,21.5175,31.308750000000003,57.9825,100.0925,108.39999999999999,164.8075,175.3025,125.2175,125.69749999999999,117.995,121.36666666666666
