q1_eod_act,q2_eod_act,q3_eod_act,q4_eod_act
27.082166666666666,28.662323809523805,29.82320952380952,26.886495000000004
29.601428571428574,30.703285714285716,30.09213333333333,29.592285714285715
30.821999999999996,31.446000000000005,30.633333333333336,31.677999999999997
22.507161904761908,23.1776619047619,23.512104761904762,21.81381
48.5064,48.63535714285714,50.08579523809524,50.155440000000006
200.05944444444447,210.42155555555556,205.3087,181.91433333333333
64.50686666666667,67.61302380952381,68.96301428571428,67.204045
44.87863809523809,45.16838571428571,46.952676190476176,44.53167
44.18202380952381,44.49619047619048,44.46857142857143,44.246
76.20257142857142,76.06090476190477,76.80966666666667,76.33475000000001
50.56392857142857,50.57535714285715,49.97154761904761,49.51362500000001
17.65424761904762,18.114957142857147,18.29030952380952,17.687829999999998
91.08690909090909,95.55745454545455,96.91125,89.076
