2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0.0785,0.08650000000000001,0.089,0.10275000000000001,0.11175,0.14100000000000001,0.17075,0.219,0.2715,0.29325,0.25475000000000003,0.34625,0.4475,0.5285000000000001,0.5882499999999999,0.6627500000000001,0.68225,0.61325,0.7429999999999999,0.9580000000000001
0.39025,0.63425,0.73175,0.78075,0.95825,1.155,1.4185,1.5585,1.8745000000000003,1.1680000000000001,1.4185,1.85125,1.85175,2.2815,2.9355,3.4627499999999998,3.4004999999999996,3.774,4.1259999999999994,3.758
0.274,0.30524999999999997,0.347,0.43575,0.589,0.7,0.8914999999999998,1.0545,1.0644999999999998,1.152,1.2434999999999998,1.29,1.4512500000000002,1.7454999999999998,2.02025,2.26625,2.70025,3.0192499999999995,3.26925,3.5295
,,,,,,0.778,0.9285000000000001,1.0950000000000002,0.79925,0.8822500000000001,1.3587500000000001,1.49675,1.6465,1.98775,2.40125,2.527,2.6477500000000003,3.40775,4.01325
,,,,,,,,,,,,0.38025,0.5345,0.54925,0.611,0.575,0.69675,0.84775,0.8724999999999999
,,,,,,0.23033333333333336,0.269,0.501,0.5505,0.872,1.04725,0.79,0.90575,1.0547499999999999,1.058,2.4617500000000003,3.48225,4.54475,8.884
,,,,,,,,,,,,,,0.149,0.40950000000000003,0.6625,0.9032500000000001,1.60325,2.22225
0.058249999999999996,0.07100000000000001,0.08533333333333333,0.08775000000000001,0.10675,0.14400000000000002,0.19324999999999998,0.2415,0.36524999999999996,0.448,0.477,0.57225,0.712,0.77675,0.8335,0.8954999999999999,0.9212500000000001,0.946,1.15875,1.5295
,,0.4746666666666666,0.60425,0.7682499999999999,0.97525,1.17325,1.39425,1.532,1.40725,1.4952500000000002,1.6205,1.91025,1.89975,2.25425,2.355,2.681,2.80025,3.4585,4.8385
0.59025,0.583,0.6475,0.478,0.53575,0.49350000000000005,0.606,0.6825,0.76925,0.8414999999999999,0.83125,0.8532500000000001,0.9610000000000001,1.1965000000000001,1.3345,1.537,1.65075,1.62175,1.7632500000000002,2.3045
0.10933333333333334,0.07966666666666666,0.05266666666666667,0.09625,0.0985,0.079,0.10466666666666667,0.1275,0.132,0.11524999999999999,0.1315,0.15675,0.19,0.21575,0.28850000000000003,0.35575,0.44400000000000006,0.519,0.63325,0.71625
0.27425,0.671,0.419,0.607,0.76625,1.40625,2.182,2.00825,2.68975,1.8592499999999998,2.4370000000000003,2.82575,3.11375,2.3205,1.8015,0.42874999999999996,-0.15,0.31875,0.28175,0.33275
0.5585,0.63775,0.593,0.6194999999999999,0.64175,0.76925,0.8625,0.98525,1.23575,1.1360000000000001,1.22925,1.4085,1.5117500000000001,1.44,1.4995,1.6185,1.8550000000000002,1.7057499999999999,1.7882500000000001,2.091
0.05425,0.085,0.06475,0.07050000000000001,0.09425,0.13325,0.1695,0.218,0.27675,0.24999999999999997,0.27825,0.37725,0.41400000000000003,0.4845,0.53575,0.625,0.6625,0.736,0.85575,0.9844999999999999
,,,,,,,,,,,,0.9076666666666666,1.0924999999999998,1.24825,1.4285,1.552,1.6655,1.44075,1.44125
0.77475,0.8775000000000001,1.005,1.088,1.1370000000000002,1.18725,0.9566666666666667,0.71,1.1662499999999998,0.65875,0.4355,0.565,0.4475,0.37499999999999994,0.60125,0.45825,0.4395,0.46825,0.5505,0.6025
,,,,,,,,,,,,,,,,,0.27566666666666667,0.35725000000000007,0.42225
0.4175,0.47075000000000006,0.47250000000000003,0.40499999999999997,0.329,0.39575,0.45975,0.45575000000000004,0.5302500000000001,0.534,0.52875,0.597,0.6365,0.66625,0.6775,0.7076666666666668,0.8347500000000001,0.869,0.93625,1.0795000000000001
,,,,,0.26,0.0435,0.07175000000000001,0.17099999999999999,0.18125000000000002,0.20025,0.195,0.26475,0.21075,0.34675,0.32275,0.39475,0.54175,0.6920000000000001,0.63775
,,,,,,0.6586666666666666,0.605,0.6245,0.532,0.36,0.46975,0.6849999999999999,0.82,0.615,0.98325,1.25075,1.2217500000000001,1.1495,1.19025
,,,,,,,,,,0.35849999999999993,0.62525,0.679,0.7010000000000001,0.9087500000000001,1.91925,2.59625,3.622,4.683750000000001,5.4245
0.7192500000000001,0.74275,0.676,0.78125,0.73675,0.80275,0.9553333333333334,1.098,1.059,0.616,0.6335,0.82175,0.57075,0.6566666666666666,0.78025,0.8530000000000001,0.9683333333333333,1.11575,1.494,1.68175
,,,,,,,,0.253,0.325,0.359,0.42374999999999996,0.48375,0.5645,0.6125,0.64325,0.7125,0.7467499999999999,0.8267500000000001,0.8865
0.5082500000000001,0.5780000000000001,0.5015,0.56275,0.65675,0.7709999999999999,0.7875,0.84975,0.8927499999999999,0.3970000000000001,0.60875,0.9209999999999999,1.0554999999999999,1.1885,1.3467500000000001,1.41175,1.28125,1.41825,1.68275,2.019
,,,,,,2.00975,2.141,2.46575,2.8425000000000002,3.4785000000000004,4.57675,5.771,6.945500000000001,7.880749999999999,8.9335,10.187750000000001,11.251249999999999,12.273,14.77825
